Country,Happiness Rank,Happiness Score,Standard error of happiness score,Lower Confidence Interval,Upper Confidence Interval,Economy (Log GDP per capita),Family,Health (life expectancy),Freedom,Generosity,Trust (Government Corruption),,,
Lithuania,20,6.763,0.044,6.849,6.677,1.808,1.511,0.432,0.487,0.059,0.089,,,
France,21,6.661,0.038,6.735,6.588,1.856,1.433,0.566,0.582,0.083,0.270,,,
Slovenia,22,6.650,0.051,6.750,6.550,1.815,1.539,0.532,0.707,0.144,0.113,,,
Costa Rica,23,6.609,0.052,6.710,6.507,1.587,1.340,0.503,0.683,0.099,0.116,,,
Romania,24,6.589,0.052,6.690,6.488,1.726,1.280,0.423,0.631,0.044,0.000,,,
Singapore,25,6.587,0.068,6.720,6.454,2.168,1.354,0.607,0.660,0.170,0.561,,,
United Arab Emirates,26,6.571,0.043,6.656,6.486,2.015,1.223,0.401,0.745,0.188,0.247,,,
Taiwan Province of China,27,6.535,0.047,6.627,6.444,1.890,1.372,0.492,0.562,0.067,0.178,,,
Uruguay,28,6.494,0.046,6.583,6.404,1.617,1.445,0.435,0.683,0.102,0.254,,,
Slovakia,29,6.469,0.056,6.578,6.360,1.731,1.544,0.472,0.494,0.128,0.022,,,
Saudi Arabia,30,6.463,0.061,6.581,6.344,1.861,1.370,0.351,0.682,0.093,0.170,,,
Estonia,31,6.455,0.040,6.534,6.377,1.798,1.526,0.494,0.728,0.153,0.372,,,
Spain,32,6.436,0.042,6.519,6.354,1.798,1.491,0.567,0.533,0.101,0.157,,,
Italy,33,6.405,0.054,6.511,6.298,1.832,1.365,0.559,0.438,0.097,0.063,,,
Kosovo,34,6.368,0.060,6.485,6.250,1.374,1.269,0.372,0.639,0.275,0.045,,,
Chile,35,6.334,0.046,6.424,6.243,1.645,1.384,0.511,0.546,0.131,0.076,,,
Mexico,36,6.330,0.057,6.441,6.218,1.550,1.169,0.389,0.632,0.086,0.115,,,
Malta,37,6.300,0.045,6.388,6.212,1.841,1.468,0.547,0.671,0.200,0.143,,,
Panama,38,6.265,0.081,6.424,6.105,1.714,1.402,0.475,0.630,0.065,0.036,,,
Poland,39,6.260,0.042,6.343,6.177,1.767,1.474,0.477,0.511,0.120,0.139,,,
Nicaragua,40,6.259,0.076,6.408,6.109,1.109,1.292,0.385,0.660,0.148,0.218,,,
Latvia,41,6.213,0.042,6.295,6.131,1.737,1.505,0.405,0.580,0.107,0.071,,,
Bahrain,42,6.173,0.100,6.369,5.977,1.883,1.269,0.389,0.748,0.199,0.138,,,
Guatemala,43,6.150,0.108,6.362,5.939,1.287,1.188,0.310,0.631,0.106,0.066,,,
Kazakhstan,44,6.144,0.048,6.239,6.049,1.664,1.491,0.389,0.628,0.136,0.149,,,
Serbia,45,6.144,0.079,6.299,5.988,1.552,1.343,0.424,0.617,0.246,0.081,,,
Cyprus,46,6.130,0.054,6.236,6.024,1.824,1.224,0.580,0.455,0.104,0.050,,,
Japan,47,6.129,0.042,6.211,6.047,1.825,1.396,0.622,0.556,0.009,0.207,,,
Croatia,48,6.125,0.057,6.237,6.013,1.727,1.455,0.475,0.500,0.087,0.003,,,
Brazil,49,6.125,0.065,6.252,5.997,1.454,1.250,0.387,0.558,0.131,0.137,,,
El Salvador,50,6.122,0.069,6.257,5.986,1.278,1.044,0.383,0.713,0.079,0.222,,,
Hungary,51,6.041,0.055,6.149,5.933,1.754,1.519,0.435,0.501,0.105,0.065,,,
Argentina,52,6.024,0.063,6.147,5.900,1.590,1.388,0.427,0.587,0.088,0.082,,,
Honduras,53,6.023,0.089,6.196,5.849,1.115,1.072,0.341,0.613,0.189,0.062,,,
Uzbekistan,54,6.014,0.059,6.130,5.899,1.227,1.347,0.375,0.740,0.260,0.208,,,
Malaysia,55,6.012,0.079,6.167,5.858,1.665,1.155,0.385,0.659,0.222,0.122,,,
Portugal,56,5.968,0.055,6.076,5.860,1.758,1.356,0.537,0.693,0.031,0.037,,,
South Korea,57,5.951,0.045,6.040,5.862,1.853,1.188,0.603,0.446,0.112,0.163,,,
Greece,58,5.931,0.048,6.024,5.838,1.708,1.247,0.535,0.248,0.008,0.097,,,
Mauritius,59,5.902,0.057,6.013,5.791,1.589,1.382,0.336,0.574,0.121,0.110,,,
Thailand,60,5.843,0.064,5.969,5.717,1.515,1.344,0.461,0.624,0.291,0.013,,,
Mongolia,61,5.840,0.046,5.930,5.750,1.379,1.494,0.244,0.425,0.239,0.058,,,
Kyrgyzstan,62,5.825,0.045,5.913,5.737,1.061,1.439,0.417,0.735,0.234,0.018,,,
Moldova,63,5.819,0.052,5.922,5.717,1.425,1.302,0.375,0.610,0.093,0.020,,,
China,64,5.818,0.044,5.905,5.731,1.510,1.249,0.468,0.666,0.115,0.145,,,
Vietnam,65,5.763,0.052,5.865,5.662,1.349,1.212,0.381,0.741,0.134,0.122,,,
Paraguay,66,5.738,0.058,5.851,5.625,1.428,1.427,0.392,0.678,0.148,0.062,,,
Montenegro,67,5.722,0.112,5.941,5.503,1.537,1.385,0.424,0.563,0.170,0.061,,,
Jamaica,68,5.703,0.089,5.876,5.529,1.305,1.329,0.411,0.587,0.079,0.039,,,
Bolivia,69,5.684,0.057,5.797,5.572,1.240,1.187,0.329,0.648,0.103,0.060,,,
Russia,70,5.661,0.037,5.734,5.588,1.680,1.383,0.366,0.449,0.120,0.091,,,
Bosnia and Herzegovina,71,5.633,0.073,5.775,5.490,1.467,1.361,0.429,0.485,0.247,0.008,,,
Colombia,72,5.630,0.060,5.747,5.514,1.455,1.213,0.486,0.562,0.080,0.068,,,
Dominican Republic,73,5.569,0.073,5.712,5.426,1.536,1.227,0.351,0.623,0.083,0.195,,,
Ecuador,74,5.559,0.063,5.682,5.436,1.343,1.173,0.476,0.560,0.079,0.069,,,
Peru,75,5.526,0.058,5.640,5.412,1.390,1.153,0.499,0.549,0.073,0.027,,,
Philippines,76,5.523,0.077,5.675,5.371,1.238,1.108,0.286,0.714,0.104,0.141,,,
Bulgaria,77,5.466,0.059,5.582,5.350,1.635,1.457,0.408,0.557,0.106,0.013,,,
Nepal,78,5.360,0.075,5.507,5.214,0.979,1.027,0.281,0.567,0.215,0.104,,,
Armenia,79,5.342,0.066,5.470,5.213,1.466,1.134,0.443,0.551,0.053,0.160,,,
Tajikistan,80,5.330,0.062,5.452,5.207,0.972,1.248,0.291,0.599,0.104,0.292,,,
Algeria,81,5.329,0.062,5.451,5.207,1.353,1.298,0.409,0.252,0.073,0.152,,,
Hong Kong S.A.R. of China,82,5.308,0.048,5.403,5.214,1.951,1.201,0.702,0.407,0.123,0.390,,,
Albania,83,5.277,0.066,5.406,5.148,1.449,0.951,0.480,0.549,0.133,0.037,,,
Indonesia,84,5.277,0.059,5.392,5.161,1.384,1.169,0.314,0.663,0.422,0.038,,,
South Africa,85,5.275,0.073,5.417,5.132,1.417,1.428,0.149,0.464,0.090,0.019,,,
Congo (Brazzaville),86,5.267,0.088,5.440,5.094,0.921,0.665,0.145,0.464,0.134,0.136,,,
North Macedonia,87,5.254,0.055,5.361,5.146,1.498,1.171,0.408,0.515,0.207,0.020,,,
Venezuela,88,5.211,0.064,5.336,5.085,0.000,1.257,0.341,0.369,0.205,0.084,,,
Laos,89,5.111,0.081,5.269,4.952,1.232,0.853,0.257,0.715,0.185,0.162,,,
Georgia,90,5.109,0.056,5.219,5.000,1.477,0.947,0.366,0.539,0.000,0.201,,,
Guinea,91,5.072,0.072,5.213,4.931,0.844,0.776,0.072,0.369,0.204,0.102,,,
Ukraine,92,5.071,0.059,5.187,4.956,1.358,1.354,0.355,0.551,0.265,0.016,,,
Ivory Coast,93,5.053,0.074,5.198,4.907,1.094,0.584,0.120,0.467,0.138,0.131,,,
Gabon,94,5.035,0.072,5.175,4.894,1.438,1.021,0.183,0.346,0.036,0.102,,,
Nigeria,95,4.981,0.080,5.136,4.825,1.065,1.007,0.092,0.448,0.176,0.013,,,
Cameroon,96,4.973,0.071,5.112,4.834,0.965,0.871,0.118,0.405,0.144,0.059,,,
Mozambique,97,4.954,0.116,5.181,4.727,0.570,0.885,0.000,0.625,0.161,0.192,,,
Iraq,98,4.941,0.081,5.099,4.783,1.281,0.953,0.324,0.351,0.134,0.038,,,
State of Palestine,99,4.908,0.092,5.089,4.727,1.144,1.309,,0.416,0.065,0.067,,,
Morocco,100,4.903,0.061,5.023,4.783,1.236,0.535,0.337,0.540,0.013,0.085,,,
Iran,101,4.876,0.053,4.980,4.772,1.465,1.102,0.411,0.281,0.229,0.130,,,
Senegal,102,4.855,0.065,4.983,4.727,0.943,0.727,0.231,0.519,0.142,0.060,,,
Mauritania,103,4.724,0.147,5.011,4.437,1.099,0.764,0.244,0.320,0.130,0.195,,,
Burkina Faso,104,4.638,0.093,4.819,4.456,0.768,0.814,0.107,0.419,0.188,0.113,,,
Namibia,105,4.631,0.069,4.766,4.496,1.289,1.126,0.145,0.383,0.069,0.071,,,
Turkiye,106,4.614,0.083,4.777,4.450,1.714,1.148,0.467,0.125,0.095,0.096,,,
Ghana,107,4.605,0.063,4.729,4.481,1.101,0.756,0.197,0.526,0.211,0.035,,,
Pakistan,108,4.555,0.077,4.707,4.404,1.081,0.657,0.158,0.511,0.141,0.102,,,
Niger,109,4.501,0.108,4.712,4.291,0.561,0.628,0.137,0.540,0.154,0.140,,,
Tunisia,110,4.497,0.053,4.601,4.393,1.333,0.981,0.422,0.259,0.022,0.016,,,
Kenya,111,4.487,0.066,4.616,4.357,1.051,0.881,0.190,0.418,0.291,0.055,,,
Sri Lanka,112,4.442,0.083,4.603,4.280,1.422,1.224,0.426,0.539,0.120,0.086,,,
Uganda,113,4.432,0.089,4.607,4.258,0.785,1.144,0.201,0.425,0.197,0.051,,,
Chad,114,4.397,0.121,4.633,4.160,0.622,0.962,0.043,0.393,0.255,0.088,,,
Cambodia,115,4.393,0.059,4.508,4.279,1.025,1.024,0.283,0.768,0.176,0.051,,,
Benin,116,4.374,0.066,4.504,4.244,0.924,0.242,0.124,0.481,0.114,0.253,,,
Myanmar,117,4.372,0.082,4.533,4.212,1.032,1.125,0.269,0.460,0.400,0.194,,,
Bangladesh,118,4.282,0.068,4.416,4.148,1.133,0.513,0.355,0.617,0.139,0.165,,,
Gambia,119,4.279,0.105,4.484,4.075,0.761,0.614,0.174,0.286,0.332,0.033,,,
Mali,120,4.198,0.062,4.319,4.076,0.763,0.637,0.106,0.441,0.121,0.059,,,
Egypt,121,4.170,0.059,4.287,4.054,1.377,0.972,0.326,0.467,0.038,0.250,,,
Togo,122,4.137,0.077,4.289,3.986,0.770,0.642,0.161,0.367,0.149,0.136,,,
Jordan,123,4.120,0.062,4.242,3.997,1.292,0.980,0.438,0.517,0.056,0.173,,,
Ethiopia,124,4.091,0.093,4.273,3.908,0.793,1.114,0.250,0.451,0.283,0.101,,,
Liberia,125,4.042,0.144,4.325,3.760,0.628,0.644,0.141,0.471,0.219,0.071,,,
India,126,4.036,0.029,4.092,3.980,1.159,0.674,0.252,0.685,0.175,0.111,,,
Madagascar,127,4.019,0.092,4.199,3.839,0.632,0.779,0.178,0.187,0.177,0.134,,,
Zambia,128,3.982,0.094,4.167,3.797,0.914,0.890,0.095,0.545,0.189,0.080,,,
Tanzania,129,3.694,0.075,3.840,3.547,0.836,0.787,0.214,0.607,0.234,0.269,,,
Comoros,130,3.545,0.117,3.774,3.317,0.914,0.327,0.215,0.117,0.129,0.145,,,
Malawi,131,3.495,0.090,3.671,3.320,0.637,0.479,0.189,0.490,0.139,0.129,,,
Botswana,132,3.435,0.136,3.702,3.168,1.471,1.041,0.087,0.480,0.021,0.071,,,
Congo (Kinshasa),133,3.207,0.095,3.394,3.020,0.531,0.784,0.105,0.375,0.183,0.068,,,
Zimbabwe,134,3.204,0.061,3.323,3.084,0.758,0.881,0.069,0.363,0.112,0.117,,,
Sierra Leone,135,3.138,0.082,3.299,2.976,0.670,0.540,0.092,0.371,0.193,0.051,,,
Lebanon,136,2.392,0.044,2.479,2.305,1.417,0.476,0.398,0.123,0.061,0.027,,,
Afghanistan,137,1.859,0.033,1.923,1.795,0.645,0.000,0.087,0.000,0.093,0.059,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
