Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position,Pets,TV,Piercings
Third Year,3,1,7,Left-handed,On your right side,"Cat, Chickens",Breaking Bad,0
Third Year,9,0,2,Right-handed,On your back,"Cat, Dog",Black Mirror,0
Third Year,6,4,8,Right-handed,On your right side,"Cat, Dog",Black Mirror,0
First Year,5,2,8,Right-handed,On your back,"Cat, Dog","Black Mirror, One Piece",0
First Year,8,10,7,Right-handed,On your left side,"Cat, Dog",Money Heist,0
Second Year,5,2,8,Left-handed,On your back,"Cat, Dog",None,0
Second Year,3,2,6,Right-handed,On your left side,"Cat, Dog",None,0
Third Year,9,17,7,Right-handed,On your right side,"Cat, Dog",None,0
First Year,7,12,7,Right-handed,On your stomach,"Cat, Dog",None,0
Third Year,6,3,8,Right-handed,On your stomach,"Cat, Dog",None,0
Third Year,10,5,8,Left-handed,On your left side,"Cat, Dog",One Piece,0
First Year,7,10,8,Right-handed,On your left side,"Cat, Dog",Succession,0
First Year,9,50,9,Left-handed,On your back,"Cat, Dog","Succession, Black Mirror",0
First Year,5,9,7,Right-handed,On your left side,"Cat, Dog",Ted Lasso,0
Third Year,4,10,8,Right-handed,On your right side,"Cat, Dog",Ted Lasso,0
Second Year,2,4,8,Right-handed,On your back,"Cat, Dog",The Bear,0
Second Year,3,4,6.5,Right-handed,On your left side,"Cat, Dog","The Last of Us, Scavengers Reign",0
Second Year,8,22,8.5,Left-handed,On your left side,"Cat, Dog",The Mandalorian,0
First Year,2,2,6,Right-handed,On your right side,"Cat, Dog",The Mandalorian,0
Third Year,6,6,6,Right-handed,On your stomach,"Cat, Dog",The Mandalorian,0
Third Year,8,15,6,Right-handed,On your back,"Cat, Dog",The Fall of the House of Usher,1
First Year,3,6,6,Right-handed,On your back,"Cat, Dog",The Mandalorian,1
Second Year,7,8,8,Right-handed,On your stomach,"Cat, Dog",Ahsoka,2
Third Year,4,4,7,Right-handed,On your right side,"Cat, Dog",Arrested Development,2
First Year,7,3,6,Right-handed,On your right side,"Cat, Dog",Black Mirror,2
Second Year,3,6,7,Right-handed,On your stomach,"Cat, Dog",Black Mirror,2
First Year,5,4,6.5,Right-handed,On your back,"Cat, Dog","Black Mirror, One Piece",2
First Year,4,4,5,Right-handed,On your left side,"Cat, Dog","Black Mirror, One Piece",2
Third Year,8,15,8,Ambidextrous,On your back,"Cat, Dog",Bojack Horseman,2
First Year,4,4,7,Right-handed,On your right side,"Cat, Dog",Gilmore Girls,2
Third Year,5,15,7,Right-handed,On your stomach,"Cat, Dog",Gilmore Girls,2
Third Year,8,10,6,Right-handed,On your back,"Cat, Dog",None,2
Third Year,3,6,7,Right-handed,On your left side,"Cat, Dog",None,2
Second Year,6,6,8,Right-handed,On your left side,"Cat, Dog",None,2
Second Year,6,2,7,Right-handed,On your stomach,"Cat, Dog",None,2
First Year,6,4,7.5,Left-handed,On your left side,"Cat, Dog",Ted Lasso,2
Second Year,7,15,8.5,Right-handed,On your right side,"Cat, Dog","Ted Lasso, Gilmore Girls",2
First Year,3,4,7,Right-handed,On your left side,"Cat, Dog",The Bear,2
Third Year,4,3,6,Right-handed,On your back,"Cat, Dog",The Last of Us,2
First Year,8,3,7,Right-handed,On your back,"Cat, Dog",The Last of Us,2
Second Year,7,4,7,Right-handed,On your left side,"Cat, Dog",Gilmore Girls,3
First Year,9,5,7,Right-handed,On your right side,"Cat, Dog",One Piece,3
Third Year,8,7,6,Right-handed,On your stomach,"Cat, Dog",Pretty Little Liars,3
Third Year,6,6,7.5,Right-handed,On your right side,"Cat, Dog","The Bear, Gilmore Girls",3
Third Year,6,1,6.5,Right-handed,On your left side,"Cat, Dog","The Last of Us, The Mandalorian",3
First Year,7,5,7,Right-handed,On your left side,"Cat, Dog",Black Mirror,4
Third Year,6,4,8,Right-handed,On your back,"Cat, Dog",None,4
Second Year,7,9,7,Right-handed,On your left side,"Cat, Dog",None,4
Third Year,7,3,7.5,Right-handed,On your back,"Cat, Dog","The Last of Us, Black Mirror",4
First Year,7,8,6,Right-handed,On your back,"Cat, Dog",None,5
First Year,7,5,9,Right-handed,On your left side,"Cat, Dog",None,5
Second Year,7,5,7,Right-handed,On your right side,"Cat, Dog",None,5
Third Year,5,4,7,Right-handed,On your right side,"Cat, Dog","Succession, The Bear",5
Second Year,4,15,8,Right-handed,On your stomach,"Cat, Dog",Black Mirror,6
Third Year,5,5,7,Right-handed,On your right side,"Cat, Dog","Black Mirror, The Mandalorian",6
Second Year,8,3,7,Right-handed,On your right side,"Cat, Dog","The Bear, Gilmore Girls",6
Second Year,7,5,7,Right-handed,On your stomach,"Cat, Dog",Pretty Little Liars ,7
First Year,3,6,8,Right-handed,On your right side,"Cat, Dog","The Last of Us, The Bear",8
Second Year,8,3,6,Right-handed,On your left side,"Cat, Dog",None,13
Second Year,4,4,8,Right-handed,On your right side,"Cat, Dog, Bird",Succession,0
First Year,1,1,8,Right-handed,On your back,"Cat, Dog, Bird",None,1
First Year,5,14,7,Right-handed,On your right side,"Cat, Dog, Bird",None,2
Second Year,4,10,8,Right-handed,On your left side,"Cat, Dog, Fish",None,0
First Year,7,5,7,Right-handed,On your left side,"Cat, Dog, Fish",Gilmore Girls,2
First Year,10,10,7,Right-handed,On your left side,"Cat, Dog, Fish, Lizard",None,2
First Year,2,4,8,Right-handed,On your right side,"Cat, Dog, Fish, Turtle, Rabbit, Snake, Bird, Hamster or Guinea Pig, Lizard","The Last of Us, Ahsoka, The Mandalorian",2
First Year,8,15,7,Right-handed,On your left side,"Cat, Dog, Rabbit",Breaking Bad,9
First Year,8,10,6.5,Right-handed,On your right side,"Cat, Dog, Turtle",None,0
First Year,4,3,8,Right-handed,On your right side,"Cat, Dog, Turtle, Rabbit",None,0
First Year,7,3,8,Right-handed,On your back,"Cat, Fish",None,0
Third Year,5,1,8,Right-handed,On your back,"Cat, Fish","Succession, Breaking Bad",0
First Year,7,7,5,Right-handed,On your right side,"Cat, Fish","The Last of Us, The Bear",0
Second Year,8,10,7,Right-handed,On your stomach,"Cat, Fish",Gilmore Girls,2
Second Year,6,3,7,Right-handed,On your right side,"Cat, Fish","None, the office",4
First Year,3,3,8,Right-handed,On your right side,"Cat, Fish, Alpacas",None,4
Fourth Year,8,4,8,Right-handed,On your stomach,"Cat, Fish, stick bug, chinchillas","The Last of Us, avatar the last airbender",4
First Year,3,2,5,Right-handed,On your right side,"Cat, Hamster or Guinea Pig",None,0
First Year,4,3,8,Right-handed,On your stomach,"Cat, Lizard, chickens",One Piece,0
First Year,4,3,5,Right-handed,On your right side,"Cat, Rabbit",None,2
First Year,5,-10,5,Right-handed,On your left side,"Cat, Snake, axolotl","The Last of Us, Ahsoka, Black Mirror, The Mandalorian, One Piece",0
Second Year,4,3,7,Right-handed,On your back,"Cat, Turtle","Ahsoka, The Mandalorian",0
First Year,8,4,6,Right-handed,On your stomach,"Cat, Turtle",One Piece,0
First Year,7,3,9,Right-handed,On your right side,"Cat, Turtle",Succession,0
Second Year,9,20,1,Right-handed,On your left side,Dog,"Ahsoka, The Mandalorian",0
First Year,8,10,8,Right-handed,On your right side,Dog,Arrested Development,0
Third Year,7,5,7,Right-handed,On your left side,Dog,Attack on Titan,0
First Year,5,4,6,Right-handed,On your back,Dog,Avatar The Last Airbender,0
Second Year,7,8,5,Right-handed,On your back,Dog,Black Mirror,0
First Year,7,3,8,Right-handed,On your back,Dog,Black Mirror,0
Second Year,6,6,8,Right-handed,On your back,Dog,Black Mirror,0
Second Year,7,15,7.5,Right-handed,On your left side,Dog,Black Mirror,0
First Year,3,3,8,Right-handed,On your left side,Dog,Black Mirror,0
First Year,4,6,8,Right-handed,On your left side,Dog,Black Mirror,0
First Year,8,7,8,Right-handed,On your left side,Dog,Black Mirror,0
First Year,4,2,6,Right-handed,On your right side,Dog,Black Mirror,0
Fourth Year,9,20,9,Right-handed,On your stomach,Dog,"Black Mirror, ",0
First Year,7,4,7,Right-handed,On your right side,Dog,"Black Mirror, None",0
Third Year,8,5,7,Right-handed,On your right side,Dog,"Black Mirror, Outter banks ",0
First Year,7,7,8,Right-handed,On your right side,Dog,"Black Mirror, The Mandalorian",0
First Year,7,20,8,Right-handed,On your back,Dog,Game of Thrones,0
First Year,8,8,6,Right-handed,On your left side,Dog,Gilmore Girls,0
First Year,8,5,7,Right-handed,On your left side,Dog,Gilmore Girls,0
Third Year,7,4,7,Right-handed,On your right side,Dog,Gilmore Girls,0
First Year,6,15,7,Right-handed,On your right side,Dog,Gilmore Girls,0
First Year,6,25,8,Right-handed,On your right side,Dog,Gilmore Girls,0
First Year,3,7,7,Right-handed,On your stomach,Dog,Gilmore Girls,0
First Year,6,4,7,Right-handed,On your left side,Dog,"Gilmore Girls, Criminal Minds",0
First Year,6,2,7,Right-handed,On your left side,Dog,Loki,0
First Year,3,5,7,Left-handed,On your right side,Dog,Modern Family,0
First Year,8,7,7,Left-handed,On your back,Dog,None,0
First Year,7,10,6,Right-handed,On your back,Dog,None,0
Third Year,5,1,7,Right-handed,On your back,Dog,None,0
First Year,5,4,7,Right-handed,On your back,Dog,None,0
First Year,3,5,7,Right-handed,On your back,Dog,None,0
First Year,3,5,7,Right-handed,On your back,Dog,None,0
First Year,1,6,7,Right-handed,On your back,Dog,None,0
First Year,3,10,7,Right-handed,On your back,Dog,None,0
First Year,4,5,8,Right-handed,On your back,Dog,None,0
First Year,8,5,8,Right-handed,On your back,Dog,None,0
Third Year,5,8,8,Right-handed,On your back,Dog,None,0
Third Year,8,15,8,Right-handed,On your back,Dog,None,0
Third Year,6,5,10,Right-handed,On your back,Dog,None,0
First Year,10,7,10,Right-handed,On your back,Dog,None,0
Second Year,5,2,5,Right-handed,On your left side,Dog,None,0
First Year,5,8,5,Right-handed,On your left side,Dog,None,0
First Year,3,1,6,Right-handed,On your left side,Dog,None,0
Second Year,4,3,6,Right-handed,On your left side,Dog,None,0
First Year,3,6,7,Right-handed,On your left side,Dog,None,0
First Year,4,8,7,Right-handed,On your left side,Dog,None,0
First Year,4,10,7,Right-handed,On your left side,Dog,None,0
First Year,7,10,7,Right-handed,On your left side,Dog,None,0
Second Year,5,3,8,Right-handed,On your left side,Dog,None,0
First Year,5,5,8,Right-handed,On your left side,Dog,None,0
First Year,5,5,8,Right-handed,On your left side,Dog,None,0
First Year,6,2,7,Left-handed,On your right side,Dog,None,0
Third Year,4,2,7,Right-handed,On your right side,Dog,None,0
First Year,5,5,7,Right-handed,On your right side,Dog,None,0
Fourth Year,6,5,7,Right-handed,On your right side,Dog,None,0
First Year,7,10,7,Right-handed,On your right side,Dog,None,0
First Year,7,7,7.5,Right-handed,On your right side,Dog,None,0
First Year,7,5,8,Right-handed,On your right side,Dog,None,0
Second Year,2,7,5,Ambidextrous,On your stomach,Dog,None,0
Third Year,4,2,7,Right-handed,On your back,Dog,One Piece,0
First Year,3,2,7,Right-handed,On your left side,Dog,One Piece,0
Third Year,5,2,7.5,Right-handed,On your left side,Dog,One Piece,0
First Year,5,3,6,Right-handed,On your right side,Dog,One Piece,0
First Year,6,8,8,Right-handed,On your stomach,Dog,One Piece,0
First Year,4,7,5,Right-handed,On your stomach,Dog,"One Piece, Breaking Bad",0
Third Year,6,3,7,Right-handed,On your back,Dog,One Punch Man,0
Second Year,6,3,7,Left-handed,On your right side,Dog,Parks and Recreation,0
First Year,5,5,8,Right-handed,On your back,Dog,Succession,0
Third Year,7,6,6,Right-handed,On your right side,Dog,"Succession, Ted Lasso, The Bear",0
First Year,7,10,7,Right-handed,On your left side,Dog,"Succession, The Fall of the House of Usher, Gilmore Girls",0
First Year,4,55,7,Right-handed,On your back,Dog,Suits,0
Third Year,8,3,7.5,Right-handed,On your left side,Dog,Suits,0
First Year,8,6,7,Right-handed,On your left side,Dog,Ted Lasso,0
First Year,6,15,8,Left-handed,On your right side,Dog,Ted Lasso,0
Second Year,6,15,7,Right-handed,On your right side,Dog,Ted Lasso,0
Second Year,6,8,8,Right-handed,On your right side,Dog,Ted Lasso,0
First Year,7,20,6,Left-handed,On your left side,Dog,"Ted Lasso, Gilmore Girls",0
First Year,7,12,7,Right-handed,On your right side,Dog,"Ted Lasso, The Office",0
Second Year,3,3,8,Right-handed,On your back,Dog,The Bear,0
Second Year,3,3,6,Right-handed,On your right side,Dog,The Bear,0
Third Year,7,5,10,Right-handed,On your back,Dog,The Hangover Trilogy,0
Third Year,3,4,6,Right-handed,On your back,Dog,The Last of Us,0
Second Year,6,6,6.5,Right-handed,On your back,Dog,The Last of Us,0
First Year,4,5,7,Right-handed,On your right side,Dog,The Last of Us,0
First Year,6,3,7.5,Right-handed,On your back,Dog,"The Last of Us, Black Mirror",0
Second Year,4,3,8,Right-handed,On your back,Dog,"The Last of Us, Black Mirror",0
Third Year,4,2,8,Right-handed,On your right side,Dog,"The Last of Us, Black Mirror, The Mandalorian, The Bear",0
Third Year,3,4,6,Right-handed,On your back,Dog,"The Last of Us, One Piece",0
Third Year,3,3,7,Left-handed,On your right side,Dog,"The Last of Us, One Piece",0
Second Year,8,10,8,Right-handed,On your back,Dog,The Mandalorian,0
First Year,8,15,9,Right-handed,On your back,Dog,The Mandalorian,0
First Year,8,15,7,Right-handed,On your right side,Dog,The Mandalorian,0
First Year,8,12,8,Right-handed,On your right side,Dog,The Mandalorian,0
First Year,3,15,8,Left-handed,On your stomach,Dog,The Mandalorian,0
Third Year,3,4,7,Right-handed,On your stomach,Dog,The Mandalorian,0
Second Year,3,4,7,Right-handed,On your stomach,Dog,"The Mandalorian, One Piece",0
First Year,8,5,6,Right-handed,On your right side,Dog,"The Mandalorian, One Piece, Ted Lasso",0
First Year,7,25,7,Right-handed,On your back,Dog,"The Mandalorian, Ted Lasso",0
First Year,5,15,6,Right-handed,On your stomach,Dog,"The Mandalorian, Ted Lasso",0
Second Year,7,5,6,Right-handed,On your back,Dog,Gilmore Girls,1
Second Year,2,50,5,Right-handed,On your left side,Dog,Gilmore Girls,1
First Year,8,16,9,Right-handed,On your right side,Dog,Gilmore Girls,1
Third Year,5,5,6,Right-handed,On your stomach,Dog,Gilmore Girls,1
First Year,7,6,7,Right-handed,On your left side,Dog,New Girl,1
First Year,3,10,7,Right-handed,On your back,Dog,None,1
First Year,3,4,7,Right-handed,On your right side,Dog,None,1
First Year,6,3,8,Right-handed,On your right side,Dog,None,1
First Year,9,20,9,Right-handed,On your right side,Dog,None,1
Second Year,2,2,4,Left-handed,On your back,Dog,"None, ",1
First Year,4,4,7.5,Right-handed,On your back,Dog,One Piece,1
Third Year,6,5,8,Right-handed,On your left side,Dog,One Piece,1
First Year,6,6,7,Right-handed,On your back,Dog,Only Murders In The Building,1
Fourth Year,3,3,8,Right-handed,On your back,Dog,The Bear,1
First Year,3,7,8,Left-handed,On your stomach,Dog,The Bear,1
Third Year,8,20,5,Right-handed,On your stomach,Dog,The Bear,1
Fourth Year,7,5,7,Right-handed,On your right side,Dog,The Last of Us,1
First Year,5,4,8,Right-handed,On your right side,Dog,abbot elementary,2
Second Year,5,3,6,Right-handed,On your right side,Dog,"Ahsoka, The Mandalorian",2
Fourth Year,6,4,6,Right-handed,On your back,Dog,Better Call Saul,2
First Year,8,5,6,Right-handed,On your back,Dog,Black Mirror,2
First Year,4,5,8,Right-handed,On your back,Dog,Black Mirror,2
First Year,8,12,9,Right-handed,On your back,Dog,Black Mirror,2
First Year,7,10,8,Right-handed,On your right side,Dog,Black Mirror,2
First Year,5,5,8,Right-handed,On your right side,Dog,"Black Mirror, Gilmore Girls",2
Third Year,4,5,7,Right-handed,On your right side,Dog,"Black Mirror, The Mandalorian",2
Second Year,7,4,9,Right-handed,On your stomach,Dog,Breaking Bad,2
Second Year,2,3,6,Right-handed,On your back,Dog,Gilmore Girls,2
First Year,9,5,6,Right-handed,On your back,Dog,Gilmore Girls,2
Second Year,8,6,6,Right-handed,On your back,Dog,Gilmore Girls,2
First Year,6,5,8,Right-handed,On your back,Dog,Gilmore Girls,2
First Year,3,5,6,Left-handed,On your left side,Dog,Gilmore Girls,2
First Year,6,15,6,Right-handed,On your left side,Dog,Gilmore Girls,2
First Year,3,6,4,Right-handed,On your right side,Dog,Gilmore Girls,2
Second Year,8,12,6,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,8,6,7,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,7,12,7,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,5,15,7,Right-handed,On your right side,Dog,Gilmore Girls,2
First Year,8,6,8,Right-handed,On your right side,Dog,Gilmore Girls,2
Fourth Year,4,12,6,Right-handed,On your stomach,Dog,Gilmore Girls,2
First Year,7,200,7,Right-handed,On your stomach,Dog,Gilmore Girls,2
Fourth Year,8,20,8,Right-handed,On your back,Dog,"Gilmore Girls, Breaking Bad",2
Second Year,4,6,4,Right-handed,On your left side,Dog,Grey's Anatomy,2
First Year,7,6,7,Right-handed,On your right side,Dog,New Girl,2
Third Year,2,2,6,Right-handed,On your back,Dog,None,2
Second Year,6,6,6,Right-handed,On your back,Dog,None,2
Third Year,6,2,6,Right-handed,On your left side,Dog,None,2
First Year,5,2,8,Right-handed,On your left side,Dog,None,2
First Year,8,12,8,Right-handed,On your left side,Dog,None,2
Third Year,5,2,6,Right-handed,On your right side,Dog,None,2
Second Year,4,2,7,Right-handed,On your right side,Dog,None,2
Third Year,5,3,7,Right-handed,On your right side,Dog,None,2
Fourth Year,6,4,7,Right-handed,On your right side,Dog,None,2
First Year,6,5,7,Right-handed,On your right side,Dog,None,2
First Year,4,6,8,Right-handed,On your right side,Dog,None,2
First Year,7,6,10,Left-handed,On your stomach,Dog,None,2
Second Year,5,2,6,Left-handed,On your right side,Dog,One Piece,2
First Year,5,4,7,Right-handed,On your right side,Dog,One Piece,2
Second Year,3,3,5,Right-handed,On your right side,Dog,Sex and the City,2
First Year,8,4,6,Right-handed,On your left side,Dog,Succession,2
First Year,5,8,6,Right-handed,On your right side,Dog,Succession,2
Third Year,2,2,7,Right-handed,On your left side,Dog,"Succession, Ted Lasso",2
Second Year,3,2,7,Right-handed,On your left side,Dog,Ted Lasso,2
First Year,4,3,7,Left-handed,On your back,Dog,The Bear,2
Third Year,7,11,6,Right-handed,On your stomach,Dog,The Bear,2
Second Year,8,6,7,Right-handed,On your back,Dog,The Last of Us,2
First Year,9,8,7,Right-handed,On your back,Dog,The Last of Us,2
Second Year,4,5,8,Right-handed,On your back,Dog,The Last of Us,2
Third Year,7,7,7,Right-handed,On your left side,Dog,The Last of Us,2
First Year,7,15,7,Right-handed,On your left side,Dog,The Last of Us,2
First Year,4,4,8,Right-handed,On your right side,Dog,The Last of Us,2
Third Year,8,10,9,Right-handed,On your right side,Dog,The Last of Us,2
Third Year,7,6,7,Left-handed,On your left side,Dog,"The Last of Us, Black Mirror",2
Second Year,6,4,7,Right-handed,On your stomach,Dog,"The Last of Us, One Piece, The Bear",2
Second Year,4,5,7,Right-handed,On your left side,Dog,"The Last of Us, Succession, The Fall of the House of Usher",2
First Year,7,10,6.5,Right-handed,On your right side,Dog,"The Last of Us, The Mandalorian",2
Fourth Year,7,10,9,Right-handed,On your back,Dog,The Mandalorian,2
First Year,7,10,7,Right-handed,On your left side,Dog,The Mandalorian,2
Second Year,4,9,7,Right-handed,On your right side,Dog,The Mandalorian,2
Third Year,4,8,8,Right-handed,On your stomach,Dog,The Mandalorian,2
First Year,3,2,8,Right-handed,On your left side,Dog,"The Mandalorian, Gilmore Girls",2
First Year,7,6,8,Right-handed,On your left side,Dog,"The Mandalorian, Gilmore Girls",2
Second Year,6,7,6,Right-handed,On your right side,Dog,"The Mandalorian, The Bear, Gilmore Girls",2
First Year,5,3,6,Right-handed,On your left side,Dog,The Vampire Diaries ,2
Third Year,4,10,8,Right-handed,On your left side,Dog,White Lotus,2
